学科名称,问题,答案
Python学科,用上下文管理器实现函数运行时间的计算?,"import time
import contextlib


@contextlib.contextmanager
def timing():
    start = time.time()
    yield None
    end = time.time()
    print(""函数执行时间是%d毫秒"" % (end - start))


def func(number):
    li = [1, 2, 4]
    if number < 4:
        return li[number - 1]
    else:
        if number > 3:
            return func(number - 1) + func(number - 2) + func(number - 3)


with timing():
    print(func(30))"
Python学科,"有字典{'a':1,'b':2,'c':3},现在有一个需求
装饰器练习题","有一个 字典{'a':1,'b':2,'c':3},现在有一个这个需求：
1).向字典中添加新的键值对，如果字典中的键，已经存在，则取消添加，打印提示：键已经存在。
2).如果键不存在，则添加到字典中。（请使用装饰器来实现,顺便复习下*args和**kwargs的用法）


def dict_check(func):
    def wrapper(*args, **kwargs):
        dict_obj: dict = args[0]
        key = args[1]
        if key in dict_obj.keys():
            print(""键已经存在"")
        else:
            return func(*args, **kwargs)

    return wrapper


class MyDict(dict):
    @dict_check
    def add(self, key, value):
        self[key] = value


d1 = MyDict({'a': 1, 'b': 2, 'c': 3})
d1.add(""a"", 4)
print(d1)
d1.add(""d"", 4)
print(d1)"
Python学科,"两个人开发项目,我push到github上后
别人直接pull可以看到我的代码吗
为什么我要pull request 他才能看到我提交的代码","如果你本地的git仓库是已经和 git 服务器上的git仓库关联过的，修改文件之后，你只需要两步就可以把修改的内容同步到 git 服务器上：

 

1. commit 也就是提交修改的内容到本地的 git 仓库

2. push 推送本地 git 仓库到服务器 git 仓库

 

别人想要看到你的更改，他自己 pull 一下，也就是拉去服务器 git 仓库的更新内容就可以看到了"
Python学科,关联子查询的执行顺序是什么,"sql的编写顺序
    select .. from .. where .. group by ..having .. order by ..
sql的执行顺序
    from .. where .. group by .. having .. select .. order by ..

关联子查询 : 

在关联子查询中，对于外部查询返回的每一行数据，内部查询都要执行一次。另外，在关联子查询中是信息流是双向的。外部查询的每行数据传递一个值给子查询，然后子查询为每一行数据执行一次并返回它的记录。然后，外部查询根据返回的记录做出决策。

select * from dept d where exists(select * from emp e where e.deptno = d.deptno); 

    特点
        1. 先执行外层查询
        2. 再执行内层查询

非关联子查询:

非相关子查询是独立于外部查询的子查询，子查询执行完毕后将值传递给外部查询
    select * from emp where sal = (select max(sal) from emp);
    特点
        1. 先执行内层查询
        2. 再执行外层查询"
Python学科,定义类字典对象(继承于dict类)，如何修改读写字典元素方法,"class test(dict):

	def __init__(self, item):
		super().__init__(item)

	def __getitem__(self, key):
		if key == ""a"":
			return 100
		else:
			return super().__getitem__(key)
		
	def __setitem__(self, key, value):
		print(key, value)
		super().__setitem__(key, value)

t = test({""a"":1,""b"":2})
print(t[""a""])
print(t[""b""])
print('---------------------')
t[""b""] = ""haha""
print(t[""b""])
print('---------------------')
print(t)"
Python学科,Ubuntu上Navicat for MySQL 显示乱码,"找到 navicat 安装路径，用文本编辑器打开 start_navicat 文件，会看到 export LANG=""en_US.UTF-8"" 将这句话改为 export LANG=""zh_CN.UTF-8""，就可以了。"
Python学科,为什么isalnum函数会通过中文,"需要在字符串的后面进行编码

 

name.encode('utf-8').isalnum()

 

这样才能实现正确的判断"
Python学科,pycharm资源管理区域文件的显示更新,"{""answerText"":""{\""mid\"":\""f3c85641-9c54-4a12-a78d-b1cfe3d879a9\"",\""type\"":\""image/png\"",\""name\"":\""pycharm资源管理区域文件的显示更新.png\"",\""objectMeta\"":{\""width\"":752,\""height\"":1528}}"",""answerType"":""PIC""}"
Python学科,如何在 Ubuntu 中快速创建Pycharm桌面快捷方式？,"官方也有关于pycharm在linux的桌面快捷设置，一条命令就可以搞定：

$ sudo ln -s /opt/pycharm-2017.1.3/bin/pycharm.sh /usr/bin/pycharm
注意: /opt/pycharm-2017.1.3 是 pycharm 文件的路径,这个要根据自己pycharm文件位置进行相应更改.

在搜索框下输入pycharm:

接下就把图标拖拽到桌面或者任务栏就可以了"
Python学科,VMware安装VMware Tools时显示灰色如何解决,"1.关闭虚拟机；

2.在虚拟机设置分别设置CD/DVD、CD/DVD2和软盘为自动检测三个步骤即可；

3.再重启虚拟机，灰色字即点亮。"
